,sentence,filename
0,b.“ doo m. b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
1,a u odsustvu ovlašćenog predstavnika oštećene fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
2,donio je i javno objavio dana 29.06.2011. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
3,p r e s u d u i prema optuženima: 1. a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
4,od oca dž.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
5,i majke d.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
6,rođenom … godine u k.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
7,sa prebivalištem u naselju r.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
8,ocu troje djece,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
9,školu nije učio,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
10,srednjeg imovnog stanja,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
11,neosuđivanom i 2. b. h.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
12,od oca r. i majke lj.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
13,rođenom … godine u p.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
14,sa prebivalištem u naselju r.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
15,školu nije učio,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
16,srednjeg imovnog stanja,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
17,neosuđivanom odbija se optužba da su: dana 07.12.2010. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
18,oko 22:10 časova,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
19,u naselju r. u b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
20,po prethodnom dogovoru,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
21,"zajedno obili pomoćni objekat fabrike ""k.""",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
22,na način što su upotrebom fizičke snage,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
23,razvalili vrata pomoćnog objekta fabrike,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
24,ušli u unutrašnjost istog i pokušali da oduzmu metalne djelove,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
25,u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
26,u čemu su spriječeni od strane šefa obezbedjenja ž. v.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
27,- čime bi izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
28,u vezi sa čl 20 krivičnog zakonika.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
29,usled odustanka odt-a berane od optužbe,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
30,na osnovu čl 362 tač 1 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
31,ii optuženi a. š. i b. h.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
32,oslobadjaju se od optužbe da su: u isto vrijeme i na istom mjestu,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
33,kao pod stavom i izreke presude,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
34,po prethodnom dogovoru,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
35,"zajedno obili pomoćni objekat fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
36,"na način što su sa prozora pomoćnog objekta fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
37,upotrebom fizičke snage skinuli metalnu rešetku i napravili otvor dimenzija 0,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
38,5 x 1,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
39,"potom podesnim sredstvom - bonsekom prerezali katanac sa vrata pomoćnog objekta fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
40,u kome su se nalazile metalne šipke i bakarni kablovi,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
41,u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
42,"zatim su primijetivši stražara r. m. pobjegli u pravcu fabrike ""k.""",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
43,- čime bi kao saizvršioci izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač1 krivičnog zakonika,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
44,u vezi sa čl 20 krivičnog zakonika.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
45,- pošto nije dokazano da su izvršili krivično djelo,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
46,koje im je optužnicom stavljeno na teret,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
47,na osnovu čl 363 tač 3 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
48,troškovi krivičnog postupka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
49,padaju na teret budžetskih sredstava ovog suda na osnovu čl 203 st.1 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
50,ovlašćeni predstavnik oštećene fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
51,nije pristupio na glavni pretres zakazan za 29.06.2011. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
52,iako je uredno pozvan i upozoren na posledice nedolaska,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
53,te obzirom da je odt berane odustao od krivičnog gonjenja optuženih,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
54,smatra se da oštećeni nije voljan da produži gonjenje u smislu čl 293 st. 4 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
55,optuženi a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
56,u svojoj odbrani,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
57,datoj tokom postupka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
58,negirao je izvršenje krivičnog djela i krivicu i istakao da je bio u potpuno pijanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
59,sjeća se samo da je prolazio nekim putem i da su ušli u fabriku papira b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
60,a nije mogao da se sjeti kako su ušli u fabriku.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
61,nijesu imali nikakvu alatku u rukama.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
