,sentence,label,filename
720,"osnovni sud u beranama k.br116/11 u ime naroda osnovni sud u beranama, kao prvostepeni krivični, po sudiji pojedincu ani kenjić đukić, uz sudjelovanje zapisničara danojle milošević, u krivičnom predmetu protiv okrivljenog a. s. , iz berana, zbog četiri krivična djela nedavanje izdržavanja iz čl 221 st. 1 kz-a, u realnom sticaju, po optužnom predlogu osnovnog državnog tužilaštva u beranama ktbr81/11 od 22.03.2011. godine, nakon održanog glavnog javnog pretresa, u prisustvu okrivljenog i zakonske zastupnice maloljetnih oštećenih m. s., a. s., o. s. i a. s., majke b. s., a u odsustvu uredno pozvanog odt-a berane, donio je i javno objavio dana 27.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
721,"05.2011. godine, p r e s u d u okrivljeni a. s. , jmbg …, od oca m. i majke j., rodjene đ., rodjen … godine u b., sa prebivalištem u selu b. k., opština k., državljanin crne gore, po zanimanju električar, nezaposlen, otac četvoro djece, pismen, sa završenom sss, siromašnog imovnog stanja, osuđivan presudom osnovnog suda u beranama k.br … od 08.07.2008.godine, zbog krivičnog djela nasilje u porodici ili u porodičnoj zajednici iz čl 220 st. 1 kz, na novčanu kaznu u iznosu od 600,00 eura.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
722,"k r i v j e : što : u periodu od 09.12.2009. godine do 09.03.2011.godine, nije davao izdržavanje za svoju maloljetnu djecu, sinove m. s., a. s., o. s. i kćerku a. s., u iznosu od 100,00 eura svakomjesečno, na ruke njihovoj zakonskoj zastupnici - majci b. s. ( s. ), iako je na to obavezan pravosnažnom presudom osnovnog suda u beranama p.br … od 09.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
723,12.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
724,"2009. godine, što ukupno iznosi 780,00 eura, - čime je izvršio četiri krivična djela nedavanje izdržavanja iz čl 221 st. 1 krivičnog zakonika, u realnom sticaju.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
725,"- pa mu sud utvrđuje za četiri krivična djela nedavanje izdržavanja iz čl 221 st.1 kz-a, izvršenih na štetu mal.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
726,"oštećenih m. s., a. s., o. s. i a. s., kazne zatvora u trajanju od po 30 (trideset) dana, - te ga primjenom čl 32, 36, 42, 48 st. 2 tač 2 kz- a i čl 364 zkp-a, o s u đ u j e na jedinstvenu kaznu zatvora u trajanju od 100 /sto/ dana.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
727,"okrivljeni se obavezuje, da plati sudu troškove krivičnog postupka u iznosu od 66,00 ( šestdesetšest ) € i paušal u iznosu od 30,00 ( trideset ) €, sve prednje u roku od 15 dana, po pravosnažnosti presude, pod prijetnjom prinudnog izvršenja.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
728,"okrivljeni se obavezuje, na osnovu čl 212 st. 2 zkp-a, da na ime imovinsko pravnog zahtjeva za naknadu štete, isplati zakonskoj zastupnici mal.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
729,"oštećenih m. s., a. s., o. s. i a. s., majci b. s. ( s. ), iznos od 780,00 eura, u roku od 15 dana, po pravosnažnosti presude.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
730,"o b r a z l o ž e nj e osnovno državno tužilaštvo u beranama, podnijelo je optužni predlog ktbr 81/11 od 22.03.2011. godine, protiv okrivljenog a. s., zbog četiri krivična djela nedavanje izdržavanja iz čl 221 st. 1 kz-a u realnom sticaju.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
731,"zastupnik javne optužbe, zamjenik odt berane, nije pristupio na glavni pretres od 27.05.2011. godine, iako je uredno pozvan, pa je sud isti održao i zaključio u njegovom odsustvu, na osnovu čl 453 st.1 zkp-a zakonska zastupnica maloljetnih oštećenih m. s., a. s., o. s. i a. s., majka b. s. ( s. ), u završnoj riječi pridružila se krivičnom gonjenju protiv okrivljenog i postavila imovinsko pravni zahtjev u iznosu od 780,00 eura.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
732,"okrivljeni a. s. , u svojoj odbrani datoj tokom postupka, negirao je izvršenje krivičnog djela i istakao da je u vremenskom periodu, koji mu se stavlja na teret optužnim predlogom, doprinosio izdržavanju svoje maloljetne djece.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
733,"u više navrata je donosio krompir i isporučio krajem 2009.godine 250 kg krompira, za šta mu je zakonska zastupnica djece podpisala priznanicu.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
734,"u 2009. godini isporučio je 8 metara drva, čija je ukupna vrijednost bila 225,00 €, a i naredne godine 2010. godine, dao je zakonskoj zastupnici na ruke 200,00 €, a o svemu ovome ima priznanice, koje su podpisane od b. s.. kada je dobio žiro račun na ime izdržavanja djece 30.03.2011. godine, uplatio je 200,00 €.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
735,u 2008. godini je djecu kompletno pripremio za školu.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
736,"brak sa b. s. je razveden 09.11.2009. godine i tada su djeca njoj povjerena na čuvanje i vaspitavanje, a on obavezan da svakomjesečno plaća 100,00 eura na ime izdržavanja.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
737,"istakao je da se osjeća krivim, u smislu što ne može da redovno plaća izdržavanje, jer po pet mjeseci zimi ne radi, ali zato kad može, odjednom isplati izdržavanje, pa smatra da ga treba razumjeti, jer nema redovne prihode.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
738,"u završnoj riječi je istakao da priznaje da je kriv i da nije izvršavao svoju obavezu, prihvatio je to što zakonska zastupnica oštećenih krompir, koji je isporučio, nije prihvatila kao plaćanje na ime alimentacije.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
739,"prihvatio je iznos za koji ga duži, ali isti neće moći da plati odjednom.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
740,molio je sud da ima u vidu sve okolnosti prilikom odlučivanja.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
741,"radi pravilnog i zakonitog presuđenja ove krivično pravne stvari, sud je na glavnom pretresu, u dokaznom postupku, izveo sledeće dokaze: saslušao zakonsku zastupnicu maloljetnih oštećenih m. s., a. s., o. s. i a. s., majku b. s. ( s. ), pročitao presudu osnovnog suda u beranama p.br … od 09.12.2009. godine, izvod iz matične knjige rodjenih za m. s., a. s., o. s. i a. s., nalaz i mišljenje stalnog sudskog vještaka s. o. i izvod iz ke za okrivljenog.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
742,"nakon sprovedenog dokaznog postupka, cijeneći navode optužbe, odbranu okrivljenog, te izvedene pobrojane dokaze, u smislu člana 17 i 360 zkp-a i dovodeći ih u vezu jedne sa drugim, sud je stao na stanovište, da su činjenice, iz činjeničnog opisa izreke presude, u svemu dokazane, te da je okrivljeni a. s., izvršio četiri krivična djela nedavanje izdržavanja iz čl 220 st. 1 kz, u realnom sticaku, koja su mu optužnim predlogom stavljena na teret, pa ga je oglasio krivim, jer nije bilo osnova koji bi isključivali postojanje krivičnog djela i krivice okrivljenog.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
743,"pri tome, sud je u potpunosti prihvatio iskaz zakonske zastupnice maloljetnih oštećenih, da okrivljeni u vremenskom periodu za koji se tereti nije davao izdržavanje za mal djecu, te da ukupno za taj period duguje 780,00€, što ni okrivljeni nije sporio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
744,"tako je na osnovu presude osnovnog suda u beranama p.br …, od 09.12.2009. godine utvrdjeno da je navedenom presudom brak izmedju b. s. i a. s. razveden, te da je okrivljeni obavezan, da doprinosi izdržavanju maloljetne djece m. s., a. s., o. s. i a. s. svakomjesečno po 100,00 €, dajući novac na ruke zakonske zastupnice majke b. s., presuda je postala pravosnažna 09.12.2009. godine, a sud je ovaj dokaz u potpunosti prihvatio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
745,"takođe je na osnovu iskaza zakonske zastupnice maloljetnih oštećenih m. s., a. s., o. s. i a. s., majke b. s. ( s. ), utvrdjeno da je okrivljeni u periodu koji mu je stavljen na teret, u jednom navratu njoj lično na ruke platio 200,00 €, zatim je dotjerao kamion drva, za koji mu je podpisala priznanicu i koji je računao 200,00 €.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
746,"takođe je nakon podnošenja prijave platio 200,00 €.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
747,"istakla je da smatra da okrivljeni može da plaća izdržavanje, obzirom da posjeduje kamion i dovoljno je da obavi neki posao da zaradi 100,00 €, a koji se odnose na mjesec dana izdržavanja za četvoro maloljetno djece.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
748,"takođe smatra da se ne radi o velikom novčanom iznosu, a ona preko svog posla radi i drugi posao da bi obezbijedila novac za djecu.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
749,"okrivljeni je dotjerivao krompir, ali ona ne prihvata da time plaća izdržavanje, jer je u pitanju krompir, koji su jela njihova djeca.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
750,"sud je u potpunosti prihvatio iskaz zakonske zastupnice maloljetnih oštećenih, koji je cijenio kao iskren, jasan i vjerodostojan.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
751,"na osnovu izvoda iz matične knjige rodjenih za m. s., utvrdjeno je da je rodjen ….",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
752,"godine, a. s. da je rodjen … godine, o. s. da je rodjen … godine i a. s. da je rodjena … godine.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
753,"na osnovu nalaza i mišljenje stalnog sudskog vještaka s. o., utvrđeno je da obaveza okrivljenog za period od 09.12.2009. godine do 09.03.2011.godine, iznosi 1.500,00 €.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
754,"međutim, okrivljeni je u dva navrata na ime izdržavanja svoje maloljetne djece dao po 200,00 €, ukupno 400,00 €.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10158.txt
