,Unnamed: 0,sentence,filename,cluster
0,0,b.“ doo m. b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
1,1,a u odsustvu ovlašćenog predstavnika oštećene fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
2,2,donio je i javno objavio dana 29.06.2011. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
3,3,p r e s u d u i prema optuženima: 1. a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
4,4,od oca dž.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
5,5,i majke d.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
6,6,rođenom … godine u k.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
7,7,sa prebivalištem u naselju r.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
8,8,ocu troje djece,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
9,9,školu nije učio,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
10,10,srednjeg imovnog stanja,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
11,11,neosuđivanom i 2. b. h.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
12,12,od oca r. i majke lj.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
13,13,rođenom … godine u p.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
14,14,sa prebivalištem u naselju r.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
15,15,školu nije učio,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
16,16,srednjeg imovnog stanja,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
17,17,neosuđivanom odbija se optužba da su: dana 07.12.2010. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
18,18,oko 22:10 časova,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
19,19,u naselju r. u b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
20,20,po prethodnom dogovoru,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
21,21,"zajedno obili pomoćni objekat fabrike ""k.""",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
22,22,na način što su upotrebom fizičke snage,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
23,23,razvalili vrata pomoćnog objekta fabrike,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
24,24,ušli u unutrašnjost istog i pokušali da oduzmu metalne djelove,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
25,25,u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
26,26,u čemu su spriječeni od strane šefa obezbedjenja ž. v.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
27,27,- čime bi izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
28,28,u vezi sa čl 20 krivičnog zakonika.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
29,29,usled odustanka odt-a berane od optužbe,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
30,30,na osnovu čl 362 tač 1 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
31,31,ii optuženi a. š. i b. h.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
32,32,oslobadjaju se od optužbe da su: u isto vrijeme i na istom mjestu,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
33,33,kao pod stavom i izreke presude,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
34,34,po prethodnom dogovoru,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
35,35,"zajedno obili pomoćni objekat fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
36,36,"na način što su sa prozora pomoćnog objekta fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
37,37,upotrebom fizičke snage skinuli metalnu rešetku i napravili otvor dimenzija 0,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
38,38,5 x 1,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
39,39,"potom podesnim sredstvom - bonsekom prerezali katanac sa vrata pomoćnog objekta fabrike ""b.",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
40,40,u kome su se nalazile metalne šipke i bakarni kablovi,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
41,41,u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
42,42,"zatim su primijetivši stražara r. m. pobjegli u pravcu fabrike ""k.""",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
43,43,- čime bi kao saizvršioci izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač1 krivičnog zakonika,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
44,44,u vezi sa čl 20 krivičnog zakonika.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
45,45,- pošto nije dokazano da su izvršili krivično djelo,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
46,46,koje im je optužnicom stavljeno na teret,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
47,47,na osnovu čl 363 tač 3 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
48,48,troškovi krivičnog postupka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
49,49,padaju na teret budžetskih sredstava ovog suda na osnovu čl 203 st.1 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
50,50,ovlašćeni predstavnik oštećene fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
51,51,nije pristupio na glavni pretres zakazan za 29.06.2011. godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
52,52,iako je uredno pozvan i upozoren na posledice nedolaska,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
53,53,te obzirom da je odt berane odustao od krivičnog gonjenja optuženih,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
54,54,smatra se da oštećeni nije voljan da produži gonjenje u smislu čl 293 st. 4 zkp-a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
55,55,optuženi a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
56,56,u svojoj odbrani,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
57,57,datoj tokom postupka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,0
58,58,negirao je izvršenje krivičnog djela i krivicu i istakao da je bio u potpuno pijanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt,1
