Column1,sentence,label,filename
309,"osnovni sud u beranama k.br75/11 u ime naroda osnovni sud u beranama, kao prvostepeni krivi?ni, u vije?u sastavljenom od sudije ane kenji?-?uki?, kao predsjednika vije?a i sudija porotnika stajke mileti? i stojana kukalja, kao ?lanova vije?a, uz sudjelovanje zapisni?ara marine obadovi?, u krivi?nom predmetu protiv optuženih a. š., iz k., kosovo i b. h., iz p., kosovo, zbog produženog krivi?nog djela teška kra?a u pokušaju iz ?l 240 st. 1 ta? 1 krivi?nog zakonika, u vezi sa ?l 20 i ?l 49 kz po optužnici osnovnog državnog tužilaštva u beranama kt br 466/2010 od 18.02.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
310,"2011. godine, nakon održanog glavnog i javnog pretresa, u prisustvu odt-a gorice golubovi?, optuženih i ovlaš?enog predstavnika ošte?ene f. p. „n.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
311,"b.“ doo m. b., a u odsustvu ovlaš?enog predstavnika ošte?ene fabrike „k.“, donio je i javno objavio dana 29.06.2011. godine, p r e s u d u i prema optuženima: 1. a. š., od oca dž.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
312,"i majke d., ro?ene š., ro?enom … godine u k., k., sa prebivalištem u naselju r., opština b., državljaninu srbije, nezaposlenom, oženjenom, ocu troje djece, školu nije u?io, nepismenom, srednjeg imovnog stanja, neosu?ivanom i 2. b. h., od oca r. i majke lj., ro?ene h., ro?enom … godine u p., k., sa prebivalištem u naselju r., opština b., državljaninu srbije, nezaposlenom, neoženjenom, školu nije u?io, nepismenom, srednjeg imovnog stanja, neosu?ivanom odbija se optužba da su: dana 07.12.2010. godine, oko 22:10 ?asova, u naselju r. u b., po prethodnom dogovoru, zajedno obili pomo?ni objekat fabrike ""k."", na na?in što su upotrebom fizi?ke snage, nogama, razvalili vrata pomo?nog objekta fabrike, ušli u unutrašnjost istog i pokušali da oduzmu metalne djelove, u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist, u ?emu su sprije?eni od strane šefa obezbedjenja ž. v., - ?ime bi izvršili krivi?no djelo teška kradja u pokušaju iz ?l 240 st. 1 ta? 1 krivi?nog zakonika, u vezi sa ?l 20 krivi?nog zakonika.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
313,"usled odustanka odt-a berane od optužbe, na osnovu ?l 362 ta? 1 zkp-a.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
314,"ii optuženi a. š. i b. h., oslobadjaju se od optužbe da su: u isto vrijeme i na istom mjestu, kao pod stavom i izreke presude, po prethodnom dogovoru, zajedno obili pomo?ni objekat fabrike ""b.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
315,""", na na?in što su sa prozora pomo?nog objekta fabrike ""b.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
316,""", upotrebom fizi?ke snage skinuli metalnu rešetku i napravili otvor dimenzija 0,5 x 1,20 m, potom podesnim sredstvom - bonsekom prerezali katanac sa vrata pomo?nog objekta fabrike ""b.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
317,""", u kome su se nalazile metalne šipke i bakarni kablovi, u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist, zatim su primijetivši stražara r. m. pobjegli u pravcu fabrike ""k."", - ?ime bi kao saizvršioci izvršili krivi?no djelo teška kradja u pokušaju iz ?l 240 st. 1 ta?1 krivi?nog zakonika, u vezi sa ?l 20 krivi?nog zakonika.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
318,"- pošto nije dokazano da su izvršili krivi?no djelo, koje im je optužnicom stavljeno na teret, na osnovu ?l 363 ta? 3 zkp-a.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
